playlist_id,playlist_name,total_followers_16_5,current_total_followers,raw_growth,followers,reason,date,created_at
83,SAVAGE Beach Running 160–170 BPM 🌊 | High Tempo Sand Run Playlist,0,40,40,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
84,HARDCORE 170–180 BPM Outdoor Cardio Jogging 🔥 | High Tempo Workout Playlist,0,81,81,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
86,ULTIMATE Beach Vibes 2026 🌴 | Summer Party & Chill Playlist,0,37,37,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
88,Jamaican WYFL Riddim 🇯🇲 | Dancehall Bashment Vibes | Amapiano 2026 🔥,0,204,204,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
89,TUFF Amapiano Afrobeats Riddim | Pon Di Floor | Afro Bashmen 🔥,0,34,34,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
91,AFRO BOUNCE 2026 | BADMAN RIDDIM | Afro Vibes | Dancehall Queen 🔥,0,46,46,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
92,BASHMENT Amapiano Party 2026 | AFRORIDDIM & AFROBEATS 🔥,0,57,57,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
93,Interval Training — Beast Mode Tempo ⏱️🔥,0,57,57,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
131,"ADHD Sleep Music features calming ambient tones, soft soundscapes, and gentle background music desig",0,35,35,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
132,"Shaolin Meditation | Zen Focus, Martial Arts Calm, Deep Inner Balance 2026 🧘‍♀️",0,127,127,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
133,"Druid Meditation | Celtic Ambient, Forest Ritual Sounds 2026 💎🌿",0,302,302,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
134,"Theta Waves | Binaural Beats, Theta Frequencies for Deep Relaxation 2026 📚✨",0,53,53,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
135,"Calming Sounds for Studying, Concentration, Relaxation, and Meditation | Focus & Peaceful Ambience 2",0,85,85,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
143,"Techno Bass Boosted 2026 | Car Music Remixes, Heavy Bass, Driving Techno 🔥🚗",0,281,281,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
145,"Techno Mix 2026 | Rave Techno Remixes, Hard Beats, Party Gym & Car Music 🧪⚡",0,270,270,0,missing_or_zero_16_total,2026-05-17,2026-05-17 00:00:00
